"STT","Nhóm","Nhà cung cấp","Mô hình / chế độ","Credit","Đơn vị tính","Giá USD","Giá tham chiếu FAL USD","Mức tiết kiệm (%)","Trang model","Ngày đối chiếu","Nguồn"
"1","music","Google","Gemini 2.5 Pro TTS, Text to Speech, Audio Output","2800","per million tokens","14","20","30","","2026-07-20","https://kie.ai/pricing"
"2","music","Google","Gemini 2.5 Pro TTS, Text to Speech, Input","140","per million tokens","0.7","1","30","","2026-07-20","https://kie.ai/pricing"
"3","music","Google","Gemini 3.1 Flash TTS, Text to Speech, Audio Output","2800","per million tokens","14","20","30","","2026-07-20","https://kie.ai/pricing"
"4","music","Google","Gemini 3.1 Flash TTS, Text to Speech, input","140","per million tokens","0.7","1","30","","2026-07-20","https://kie.ai/pricing"
"5","chat","OpenAI","gpt-5.6-terra, chat, Output","840","per million tokens","4.2","15","72","https://kie.ai/gpt-5-6?model=gpt-5-6-terra","2026-07-20","https://kie.ai/pricing"
"6","chat","OpenAI","gpt-5.6-terra, chat, Cache Writes","175","per million tokens","0.875","3.125","72","https://kie.ai/gpt-5-6?model=gpt-5-6-terra","2026-07-20","https://kie.ai/pricing"
"7","chat","OpenAI","gpt-5.6-terra, chat, Cached Input","14","per million tokens","0.07","0.25","72","https://kie.ai/gpt-5-6?model=gpt-5-6-terra","2026-07-20","https://kie.ai/pricing"
"8","chat","OpenAI","gpt-5.6-terra, chat, Input","140","per million tokens","0.7","2.5","72","https://kie.ai/gpt-5-6?model=gpt-5-6-terra","2026-07-20","https://kie.ai/pricing"
"9","chat","OpenAI","gpt-5.6-sol, chat, Output ","1680","per million tokens","8.4","30","72","https://kie.ai/gpt-5-6?model=gpt-5-6-sol","2026-07-20","https://kie.ai/pricing"
"10","chat","OpenAI","gpt-5.6-sol, chat,  Cache Writes","350","per million tokens","1.75","6.25","72","https://kie.ai/gpt-5-6?model=gpt-5-6-sol","2026-07-20","https://kie.ai/pricing"
"11","chat","OpenAI","gpt-5.6-sol, chat, Cached Input","28","per million tokens","0.14","0.5","72","https://kie.ai/gpt-5-6?model=gpt-5-6-sol","2026-07-20","https://kie.ai/pricing"
"12","chat","OpenAI","gpt-5.6-sol, chat, Input","280","per million tokens","1.4","5","72","https://kie.ai/gpt-5-6?model=gpt-5-6-sol","2026-07-20","https://kie.ai/pricing"
"13","chat","OpenAI","gpt-5.6-luna, chat, Cache Writes","70","per million tokens","0.35","1.25","72","https://kie.ai/gpt-5-6?model=gpt-5-6-luna","2026-07-20","https://kie.ai/pricing"
"14","chat","OpenAI","gpt-5.6-luna, chat, Output","336","per million tokens","1.68","6","72","https://kie.ai/gpt-5-6?model=gpt-5-6-luna","2026-07-20","https://kie.ai/pricing"
"15","chat","OpenAI","gpt-5.6-luna, chat, Cached Input","5.6","per million tokens","0.028","0.1","72","https://kie.ai/gpt-5-6?model=gpt-5-6-luna","2026-07-20","https://kie.ai/pricing"
"16","chat","OpenAI","gpt-5.6-luna, chat, Input","56","per million tokens","0.28","1","72","https://kie.ai/gpt-5-6?model=gpt-5-6-luna","2026-07-20","https://kie.ai/pricing"
"17","chat","Grok","grok-4-5, Chat, Cached Input","40","","0.20","0.50","60","https://kie.ai/grok-4-5","2026-07-20","https://kie.ai/pricing"
"18","chat","Grok","grok-4-5, Chat, Output","480","","2.40","6.00","60","https://kie.ai/grok-4-5","2026-07-20","https://kie.ai/pricing"
"19","chat","Grok","grok-4-5, Chat, Input","160","","0.80","2.00","60","https://kie.ai/grok-4-5","2026-07-20","https://kie.ai/pricing"
"20","image","ByteDance","seedream 5 Pro, input image, First image free","0.5","per image","0.0025","0.003","16.67","","2026-07-20","https://kie.ai/pricing"
"21","image","ByteDance","seedream 5 Pro, text-to-image, 2K","14","per image","0.07","0.09","22.22","https://kie.ai/seedream-5-0-pro?model=seedream%2F5-pro-text-to-image","2026-07-20","https://kie.ai/pricing"
"22","image","ByteDance","seedream 5 Pro, text-to-image, 1K","7","per image","0.035","0.045","22.22","https://kie.ai/seedream-5-0-pro?model=seedream%2F5-pro-text-to-image","2026-07-20","https://kie.ai/pricing"
"23","image","ByteDance","seedream 5 Pro, image-to-image, 2K","14","per image","0.07","0.09","22.22","https://kie.ai/seedream-5-0-pro","2026-07-20","https://kie.ai/pricing"
"24","image","ByteDance","seedream 5 Pro, image-to-image, 1K","7","per image","0.035","0.045","22.22","https://kie.ai/seedream-5-0-pro","2026-07-20","https://kie.ai/pricing"
